ISO3,Country,Green_2024_USD_B,Green_Cumulative_USD_B,First_Year,Years_Active,Is_Region
CHN,China,59.6644,352.568563,2015,10,FALSE
LAC,Latin America & Caribbean (excluding high income),12.147106,60.202726,2014,11,TRUE
ECA,Europe & Central Asia (excluding high income),13.225883,58.356303,2015,10,TRUE
EAP_EX_CHN,EAP excluding China,7.987049,55.556079,2015,10,TRUE
MNA,Middle East & North Africa (excluding high income),5.05,32.85414,2016,9,TRUE
IND,India,4.55273,29.55932,2015,10,FALSE
BRA,Brazil,7.242937,25.316927,2015,10,FALSE
CHL,Chile,2.55131,19.10631,2017,7,FALSE
ARE,United Arab Emirates,3.3,17.73503,2017,7,FALSE
POL,Poland,3.226984,13.232554,2016,8,FALSE
SAU,Saudi Arabia,1.25,12.31,2020,4,FALSE
IDN,Indonesia,1.30507,11.43225,2018,7,FALSE
CZE,Czechia,2.203393,11.153753,2019,6,FALSE
HUN,Hungary,2.830706,10.587786,2020,5,FALSE
MEX,Mexico,1.35469,6.60295,2015,8,FALSE
ROU,Romania,2.93783,6.46541,2020,5,FALSE
SSA,Sub-Saharan Africa (excluding high income),0.653529,5.784899,2012,10,TRUE
THA,Thailand,0.28019,5.11304,2018,7,FALSE
TUR,Turkiye,0.05,4.89735,2019,6,FALSE
ZAF,South Africa,0.43226,4.67218,2012,10,FALSE
PHL,Philippines,0.42886,3.93262,2016,9,FALSE
MYS,Malaysia,0.21971,2.96076,2017,8,FALSE
RUS,Russian Federation,0,2.54767,2019,3,FALSE
SVK,Slovak Republic,0.418744,2.390824,2021,4,FALSE
ARG,Argentina,0.118125,2.054855,2017,7,FALSE
PER,Peru,0,1.7163,2014,5,FALSE
UZB,Uzbekistan,1.107769,1.455469,2023,2,FALSE
COL,Colombia,0.015,1.41253,2016,8,FALSE
UKR,Ukraine,0,1.18285,2019,2,FALSE
SRB,Serbia,0,1.17441,2021,1,FALSE
ECU,Ecuador,0,1.06,2019,3,FALSE
GEO,Georgia,0.3,1.0575,2020,4,FALSE
BHR,Bahrain,0,0.9,2022,1,FALSE
LTU,Lithuania,0,0.85213,2017,7,FALSE
EGY,"Egypt, Arab Rep.",0,0.85,2020,2,FALSE
DOM,Dominican Republic,0.755044,0.775044,2021,2,FALSE
SVN,Slovenia,0.05347,0.70116,2017,4,FALSE
GTM,Guatemala,0,0.7,2021,1,FALSE
EST,Estonia,0.442975,0.664435,2015,3,FALSE
CRI,Costa Rica,0.05,0.5535,2016,3,FALSE
PAN,Panama,0.06,0.50966,2019,4,FALSE
GAB,Gabon,0,0.5,2023,1,FALSE
KWT,Kuwait,0.5,0.5,2024,1,FALSE
PAK,Pakistan,0,0.5,2021,1,FALSE
LVA,Latvia,0,0.47262,2015,6,FALSE
MAR,Morocco,0,0.44911,2016,4,FALSE
HRV,Croatia,0.43398,0.43398,2024,1,FALSE
URY,Uruguay,0,0.3614,2018,2,FALSE
CYP,Cyprus,0.3215,0.3296,2023,2,FALSE
VNM,Viet Nam,0.03445,0.29994,2016,4,FALSE
ZMB,Zambia,0.193458,0.246958,2023,2,FALSE
NGA,Nigeria,0.007,0.21243,2017,5,FALSE
KAZ,Kazakhstan,0.006301,0.122671,2020,3,FALSE
MNG,Mongolia,0.04,0.1,2023,2,FALSE
LAO,Lao PDR,0,0.0964,2023,1,FALSE
LBN,Lebanon,0,0.06,2018,1,FALSE
KEN,Kenya,0,0.05814,2019,2,FALSE
FJI,Fiji,0,0.05677,2017,2,FALSE
ARM,Armenia,0,0.05,2020,1,FALSE
JOR,Jordan,0,0.05,2023,1,FALSE
NAM,Namibia,0,0.0365,2018,2,FALSE
BGD,Bangladesh,0,0.02874,2021,1,FALSE
MLT,Malta,0,0.027,2023,1,FALSE
TZA,Tanzania,0.020811,0.020811,2024,1,FALSE
BRB,Barbados,0,0.01875,2018,4,FALSE
CIV,Cote d'Ivoire,0,0.01788,2021,1,FALSE
SYC,Seychelles,0,0.015,2018,1,FALSE
BOL,Bolivia,0,0.0145,2023,1,FALSE
MKD,North Macedonia,0,0.0102,2023,1,FALSE
TJK,Tajikistan,0.01,0.01,2024,1,FALSE
LKA,Sri Lanka,0.00827,0.00827,2024,1,FALSE
CPV,Cabo Verde,0,0.005,2023,1,FALSE
BIH,Bosnia and Herzegovina,0,0.0024,2023,1,FALSE
KHM,Cambodia,0,0.0015,2023,1,FALSE
KGZ,Kyrgyz Republic,0,0.001,2023,1,FALSE
